content,content_title,content_author,content_copyright,style,style_title,style_author,style_copyright,weight,index,gifs,images,metadata,to_review
acrobat_and_young_harlequin.jpg,Acrobat and Young Harlequin,Pablo Picasso,False,tomb_in_three_parts.jpg,Tomb in Three Parts,Paul Klee,False,50000.0,88,True,True,True,False
acrobat_and_young_harlequin.jpg,Acrobat and Young Harlequin,Pablo Picasso,False,tour_eiffel.jpg,Tour Eiffel,George Seurat,False,50000.0,89,True,True,True,False
acrobat_and_young_harlequin.jpg,Acrobat and Young Harlequin,Pablo Picasso,False,two_girls.jfif,Two Girls,August Macke,False,50000.0,90,True,True,True,False
acrobat_and_young_harlequin.jpg,Acrobat and Young Harlequin,Pablo Picasso,False,udnie.jpg,Udnie,Francis Picabia,False,50000.0,91,True,True,True,False
acrobat_and_young_harlequin.jpg,Acrobat and Young Harlequin,Pablo Picasso,False,untitled_first_abstract_watercolor.jpg,Untitled (First Abstract Watercolor),Wassily Kandinsky,False,50000.0,92,True,True,True,False
acrobat_and_young_harlequin.jpg,Acrobat and Young Harlequin,Pablo Picasso,False,untitled_improvisation_III.jpg,Untitled Improvisation III,Wassily Kandinsky,False,50000.0,93,True,True,True,False
acrobat_and_young_harlequin.jpg,Acrobat and Young Harlequin,Pablo Picasso,False,upward.jpg,Upward,Wassily Kandinsky,False,50000.0,94,True,True,True,False
acrobat_and_young_harlequin.jpg,Acrobat and Young Harlequin,Pablo Picasso,False,vertumnus.jpg,Vertumnus,Giuseppe Arcimboldo,False,50000.0,95,True,True,True,False
acrobat_and_young_harlequin.jpg,Acrobat and Young Harlequin,Pablo Picasso,False,view_of_toledo.jpg,View of Toledo,El Greco,False,50000.0,96,True,True,True,False
acrobat_and_young_harlequin.jpg,Acrobat and Young Harlequin,Pablo Picasso,False,wall.jpg,Colors for a Large Wall,Ellsworth Kelly,False,50000.0,97,True,True,True,False
acrobat_and_young_harlequin.jpg,Acrobat and Young Harlequin,Pablo Picasso,False,wasserschlangen_ii.jpeg,Water Serpents II,Gustav Klimt,False,50000.0,98,False,False,False,False
acrobat_and_young_harlequin.jpg,Acrobat and Young Harlequin,Pablo Picasso,False,wheat_field_with_cypresses.jfif,Wheat Field with Cypresses,Vincent Van Gogh,False,50000.0,99,False,False,False,False
acrobat_and_young_harlequin.jpg,Acrobat and Young Harlequin,Pablo Picasso,False,yellow_accompaniment.jpg,Yellow Accompaniment,Wassily Kandinsky,False,50000.0,100,False,False,False,False
adamo.jpg,The Creation of Adam,Michelangelo,False,alpine_pasture.jfif,Alpine Pasture,Margret Hofheinz Doring,False,50000.0,101,True,True,True,False
adamo.jpg,The Creation of Adam,Michelangelo,False,ameisenhaufen.jpg,Ameisenhaufen,Marianne von Werefkin,False,50000.0,102,True,True,True,False
adamo.jpg,The Creation of Adam,Michelangelo,False,animals_in_a_landscape.jpg,Animals in a Landscape,Franz Marc,False,50000.0,103,True,True,True,False
adamo.jpg,The Creation of Adam,Michelangelo,False,battle_of_lights.jpg,"Battle of Lights, Coney Island, Mardi Gras",Joseph Stella,False,50000.0,104,True,True,True,False
adamo.jpg,The Creation of Adam,Michelangelo,False,bed_of_chrysanthemums.jpg,Bed of Chrysanthemums,Claude Monet,False,50000.0,105,True,True,True,False
adamo.jpg,The Creation of Adam,Michelangelo,False,beer_garden.jpg,Beer Garden,Marianne von Werefkin,False,50000.0,106,True,True,True,False
adamo.jpg,The Creation of Adam,Michelangelo,False,birds.jpg,Birds,Franz Marc,False,50000.0,107,True,True,True,False
adamo.jpg,The Creation of Adam,Michelangelo,False,blue-black_fox.jpg,Blue Black Fox,Franz Marc,False,50000.0,108,True,True,True,False
adamo.jpg,The Creation of Adam,Michelangelo,False,blue_horse.jpg,Blue Horse,Franz Marc,False,50000.0,109,True,True,True,False
adamo.jpg,The Creation of Adam,Michelangelo,False,blue_mountain.jfif,Blue Mountain,Wassily Kandinsky,False,50000.0,110,True,True,True,False
adamo.jpg,The Creation of Adam,Michelangelo,False,castle_and_sun.jpg,Castle and Sun,Paul Klee,False,50000.0,111,True,True,True,False
adamo.jpg,The Creation of Adam,Michelangelo,False,church_in_st._prex.jpg,Church in St. Prex,Marianne von Werefkin,False,50000.0,112,True,True,True,False
adamo.jpg,The Creation of Adam,Michelangelo,False,"coast_scene,_isles_of_shoals.jpg","Coast Scene, Isles of Shoals",Childe Hassam,False,50000.0,113,True,True,True,False
